:START_ID,:END_ID,:TYPE,ratio,method
Matthew.27.40,Mark.15.30,QUOTES,92,string_match
Matthew.27.45,Mark.15.33,QUOTES,100,string_match
Matthew.27.46,Mark.15.34,QUOTES,97,string_match
Matthew.27.47,Mark.15.35,QUOTES,96,string_match
Matthew.27.51,Mark.15.38,QUOTES,100,string_match
Mark.1.3,Matthew.3.3,QUOTES,100,string_match
Mark.1.3,Luke.3.4,QUOTES,100,string_match
Mark.1.5,Matthew.3.6,QUOTES,100,string_match
Mark.1.6,Matthew.3.4,QUOTES,94,string_match
Mark.1.8,John.1.33,QUOTES,93,string_match
Mark.1.8,Luke.3.16,QUOTES,92,string_match
Mark.1.8,Acts.11.16,QUOTES,92,string_match
Mark.1.11,Luke.3.22,QUOTES,100,string_match
Mark.1.16,Matthew.4.18,QUOTES,100,string_match
Mark.1.17,Matthew.4.19,QUOTES,100,string_match
Mark.1.18,Matthew.4.20,QUOTES,100,string_match
Mark.1.20,Matthew.4.22,QUOTES,100,string_match
Mark.1.22,Matthew.7.29,QUOTES,95,string_match
Mark.1.24,Luke.4.34,QUOTES,100,string_match
Mark.1.25,Luke.4.35,QUOTES,93,string_match
Mark.2.5,Matthew.9.2,QUOTES,96,string_match
Mark.2.9,Matthew.9.5,QUOTES,100,string_match
Mark.2.9,Luke.5.23,QUOTES,100,string_match
Mark.2.10,Matthew.9.6,QUOTES,100,string_match
Mark.2.10,Luke.5.24,QUOTES,96,string_match
Mark.2.17,Matthew.9.12,QUOTES,96,string_match
Mark.2.19,Luke.5.34,QUOTES,94,string_match
Mark.2.20,Matthew.9.15,QUOTES,100,string_match
Mark.2.20,Luke.5.35,QUOTES,100,string_match
Mark.2.21,Matthew.9.16,QUOTES,94,string_match
Mark.2.22,Luke.5.38,QUOTES,100,string_match
Mark.2.22,Luke.5.37,QUOTES,96,string_match
Mark.2.25,Matthew.12.3,QUOTES,92,string_match
Mark.2.25,Luke.6.3,QUOTES,92,string_match
Mark.2.28,Matthew.12.8,QUOTES,93,string_match
Mark.3.3,Luke.6.8,QUOTES,96,string_match
Mark.3.19,Matthew.10.4,QUOTES,100,string_match
Mark.3.24,Mark.3.25,QUOTES,94,string_match
Mark.3.25,Mark.3.24,QUOTES,94,string_match
Mark.3.33,Matthew.12.48,QUOTES,96,string_match
Mark.3.35,Matthew.12.50,QUOTES,96,string_match
Mark.4.4,Matthew.13.4,QUOTES,100,string_match
Mark.4.4,Luke.8.5,QUOTES,96,string_match
Mark.4.5,Matthew.13.5,QUOTES,100,string_match
Mark.4.6,Matthew.13.6,QUOTES,100,string_match
Mark.4.22,Luke.8.17,QUOTES,100,string_match
Mark.4.25,Luke.8.18,QUOTES,93,string_match
Mark.4.30,Luke.13.20,QUOTES,92,string_match
Mark.5.7,Luke.8.28,QUOTES,95,string_match
Mark.5.11,Luke.8.32,QUOTES,94,string_match
Mark.5.25,Luke.8.43,QUOTES,92,string_match
Mark.5.34,Luke.8.48,QUOTES,93,string_match
Mark.6.11,Luke.9.5,QUOTES,94,string_match
Mark.6.28,Matthew.14.11,QUOTES,94,string_match
Mark.6.41,Luke.9.16,QUOTES,97,string_match
Mark.6.42,Matthew.14.20,QUOTES,100,string_match
Mark.6.42,Matthew.15.37,QUOTES,100,string_match
Mark.6.42,Luke.9.17,QUOTES,100,string_match
Mark.6.48,Matthew.14.25,QUOTES,94,string_match
Mark.6.50,Matthew.14.27,QUOTES,100,string_match
Mark.6.56,Matthew.14.36,QUOTES,100,string_match
Mark.7.6,Matthew.15.8,QUOTES,100,string_match
Mark.7.7,Matthew.15.9,QUOTES,100,string_match
Mark.7.10,Matthew.15.4,QUOTES,97,string_match
Mark.7.10,Exodus.21.17,QUOTES,94,string_match
Mark.7.11,Matthew.15.5,QUOTES,94,string_match
Mark.7.18,Matthew.15.16,QUOTES,92,string_match
Mark.8.2,Matthew.15.32,QUOTES,100,string_match
Mark.8.5,Matthew.15.34,QUOTES,92,string_match
Mark.8.6,Matthew.15.35,QUOTES,100,string_match
Mark.8.8,Matthew.15.37,QUOTES,96,string_match
Mark.8.8,Matthew.14.20,QUOTES,93,string_match
Mark.8.8,Luke.9.17,QUOTES,93,string_match
Mark.8.28,Matthew.16.14,QUOTES,100,string_match
Mark.8.29,Matthew.16.15,QUOTES,100,string_match
Mark.8.29,Luke.9.20,QUOTES,93,string_match
Mark.8.34,Matthew.16.24,QUOTES,100,string_match
Mark.8.34,Luke.9.23,QUOTES,92,string_match
Mark.8.35,Luke.9.24,QUOTES,100,string_match
Mark.8.35,Matthew.16.25,QUOTES,96,string_match
Mark.8.36,Luke.9.25,QUOTES,95,string_match
Mark.8.37,Matthew.16.26,QUOTES,100,string_match
Mark.8.38,Luke.9.26,QUOTES,93,string_match
Mark.9.4,Matthew.17.3,QUOTES,100,string_match
Mark.9.5,Luke.9.33,QUOTES,96,string_match
Mark.9.5,Matthew.17.4,QUOTES,94,string_match
Mark.9.18,Luke.9.40,QUOTES,94,string_match
Mark.9.19,Matthew.17.17,QUOTES,100,string_match
Mark.9.32,Luke.9.45,QUOTES,92,string_match
Mark.9.37,John.12.45,QUOTES,93,string_match
Mark.9.38,Luke.9.49,QUOTES,94,string_match
Mark.9.42,Matthew.18.6,QUOTES,96,string_match
Mark.9.45,Matthew.18.8,QUOTES,95,string_match
Mark.10.7,Genesis.2.24,QUOTES,100,string_match
Mark.10.7,Matthew.19.5,QUOTES,100,string_match
Mark.10.7,Ephesians.5.31,QUOTES,100,string_match
Mark.10.9,Matthew.19.6,QUOTES,100,string_match
Mark.10.13,Matthew.19.13,QUOTES,93,string_match
Mark.10.14,Matthew.19.14,QUOTES,94,string_match
Mark.10.14,Luke.18.16,QUOTES,92,string_match
Mark.10.15,Luke.18.17,QUOTES,100,string_match
Mark.10.18,Luke.18.19,QUOTES,100,string_match
Mark.10.19,Luke.18.20,QUOTES,100,string_match
Mark.10.25,Matthew.19.24,QUOTES,100,string_match
Mark.10.25,Luke.18.25,QUOTES,100,string_match
Mark.10.27,Matthew.19.26,QUOTES,94,string_match
Mark.10.31,Matthew.19.30,QUOTES,100,string_match
Mark.10.32,Matthew.20.17,QUOTES,94,string_match
Mark.10.33,Matthew.20.18,QUOTES,100,string_match
Mark.10.42,Matthew.20.25,QUOTES,96,string_match
Mark.10.43,Matthew.20.26,QUOTES,100,string_match
Mark.10.45,Matthew.20.28,QUOTES,97,string_match
Mark.10.48,Luke.18.39,QUOTES,93,string_match
Mark.11.1,Matthew.21.1,QUOTES,92,string_match
Mark.11.2,Luke.19.30,QUOTES,97,string_match
Mark.11.7,Luke.19.35,QUOTES,95,string_match
Mark.11.9,Matthew.21.9,QUOTES,92,string_match
Mark.11.15,Luke.19.45,QUOTES,97,string_match
Mark.11.15,Matthew.21.12,QUOTES,94,string_match
Mark.11.18,Matthew.22.33,QUOTES,94,string_match
Mark.11.28,Matthew.21.23,QUOTES,94,string_match
Mark.11.29,Matthew.21.24,QUOTES,100,string_match
Mark.11.29,Luke.20.8,QUOTES,94,string_match
Mark.11.31,Luke.20.5,QUOTES,95,string_match
Mark.11.31,Matthew.21.25,QUOTES,93,string_match
Mark.11.33,Matthew.21.27,QUOTES,100,string_match
Mark.11.33,Luke.20.8,QUOTES,100,string_match
Mark.12.2,Luke.20.10,QUOTES,100,string_match
Mark.12.6,Matthew.21.37,QUOTES,93,string_match
Mark.12.8,Matthew.21.39,QUOTES,93,string_match
Mark.12.10,Psalm.118.22,QUOTES,100,string_match
Mark.12.10,Matthew.21.42,QUOTES,93,string_match
Mark.12.11,Matthew.21.42,QUOTES,100,string_match
Mark.12.11,Psalm.118.23,QUOTES,98,string_match
Mark.12.17,Luke.20.25,QUOTES,97,string_match
Mark.12.18,Matthew.22.23,QUOTES,93,string_match
Mark.12.19,Luke.20.28,QUOTES,100,string_match
Mark.12.21,Luke.20.30,QUOTES,100,string_match
Mark.12.22,Matthew.22.27,QUOTES,100,string_match
Mark.12.22,Luke.20.32,QUOTES,100,string_match
Mark.12.23,Luke.20.33,QUOTES,100,string_match
Mark.12.23,Matthew.22.28,QUOTES,94,string_match
Mark.12.30,Deuteronomy.6.5,QUOTES,95,string_match
Mark.12.36,Matthew.22.44,QUOTES,100,string_match
Mark.12.37,Luke.20.44,QUOTES,95,string_match
Mark.12.40,Luke.20.47,QUOTES,100,string_match
Mark.12.44,Luke.21.4,QUOTES,100,string_match
Mark.13.6,Matthew.24.5,QUOTES,96,string_match
Mark.13.7,Matthew.24.6,QUOTES,94,string_match
Mark.13.8,Matthew.24.8,QUOTES,95,string_match
Mark.13.12,Matthew.10.21,QUOTES,99,string_match
Mark.13.13,Matthew.10.22,QUOTES,100,string_match
Mark.13.13,Matthew.24.13,QUOTES,100,string_match
Mark.13.14,Matthew.24.16,QUOTES,100,string_match
Mark.13.15,Matthew.24.17,QUOTES,92,string_match
Mark.13.16,Matthew.24.18,QUOTES,100,string_match
Mark.13.17,Matthew.24.19,QUOTES,100,string_match
Mark.13.17,Luke.21.23,QUOTES,100,string_match
Mark.13.21,Matthew.24.23,QUOTES,99,string_match
Mark.13.22,Matthew.24.24,QUOTES,100,string_match
Mark.13.25,Matthew.24.29,QUOTES,100,string_match
Mark.13.26,Matthew.24.30,QUOTES,100,string_match
Mark.13.26,Luke.21.27,QUOTES,98,string_match
Mark.13.28,Matthew.24.32,QUOTES,100,string_match
Mark.13.30,Matthew.24.34,QUOTES,100,string_match
Mark.13.30,Luke.21.32,QUOTES,100,string_match
Mark.13.31,Matthew.24.35,QUOTES,100,string_match
Mark.13.31,Luke.21.33,QUOTES,100,string_match
Mark.13.32,Matthew.24.36,QUOTES,100,string_match
Mark.14.2,Matthew.26.5,QUOTES,100,string_match
Mark.14.3,Matthew.26.6,QUOTES,100,string_match
Mark.14.7,Matthew.26.11,QUOTES,100,string_match
Mark.14.7,John.12.8,QUOTES,100,string_match
Mark.14.9,Matthew.26.13,QUOTES,98,string_match
